issues.name_english,name_english,url
Arsenic Remediation in Drinking Water,U.S. Environmental Protection Agency Regulatory Background,https://www.epa.gov/dwreginfo/drinking-water-arsenic-rule-history
Arsenic Remediation in Drinking Water,Analytical Methods for Rule Determinations,https://nepis.epa.gov/Exe/ZyNET.exe/2000JT4N.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000010%5C2000JT4N.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Arsenic Remediation in Drinking Water,Arsenic Occurrence in Public Drinking Water,https://nepis.epa.gov/Exe/ZyNET.exe/P1004W96.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000021%5CP1004W96.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Arsenic Remediation in Drinking Water,Economic Analysis,https://nepis.epa.gov/Exe/ZyNET.exe/20001YQT.txt?ZyActionD=ZyDocument&Client=EPA&Index=2000%20Thru%202005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C00THRU05%5CTXT%5C00000001%5C20001YQT.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1
Arsenic Remediation in Drinking Water,Remediation Technologies and Costs,https://clu-in.org/download/remed/542r02004/arsenic_report.pdf
"Biosolid/Sludge Management, Use, or Disposal",U.S. Environmental Protection Agency Regulatory Background,https://www.epa.gov/biosolids/biosolids-laws-and-regulations
"Biosolid/Sludge Management, Use, or Disposal",Preparation Guide,https://www.epa.gov/sites/production/files/2015-05/documents/a_plain_english_guide_to_the_epa_part_503_biosolids_rule.pdf
"Biosolid/Sludge Management, Use, or Disposal",Statistical Support Documentation,https://www.epa.gov/sites/production/files/2015-04/documents/statistical_support_document_development_of_round_2_biosolids_use_or_disposal_regulations_dioxins_april_2002.pdf
"Biosolid/Sludge Management, Use, or Disposal",Statistical Survey Methods,https://www.epa.gov/biosolids/sewage-sludge-surveys
Emissions Control for Oil and Natural Gas Processing,U.S. Environmental Protection Agency Regulatory Background,https://www.epa.gov/controlling-air-pollution-oil-and-natural-gas-industry
Emissions Control for Oil and Natural Gas Processing,Analysis on Proposed NSPS and Amendments to National Emissions Standards for Hazardous Air Pollutants for Oil and Natural Gas Industry,http://www.epa.gov/ttn/ecas/regdata/RIAs/oilnaturalgasfinalria.pdf
Emissions Control from Large Marine Diesel Engines,U.S. Environmental Protection Agency Regulatory Background,http://www.epa.gov/otaq/oceanvessels.htm
Emissions Control from Large Marine Diesel Engines,U.S. Environmental Protection Agency Research and Analysis,http://www.epa.gov/otaq/regs/nonroad/marine/ci/420r09019.pdf
Groundwater Remediation ,U.S. Environmental Protection Agency Regulatory Background,https://www.epa.gov/dwreginfo/ground-water-rule
Groundwater Remediation ,U.S. Environmental Protection Agency Research and Analysis,https://www.epa.gov/sites/production/files/2015-10/documents/regulatory_impact_analysis_for_the_proposed_ground_water_rule.pdf
Mercury Emissions Control from Power Plants,U.S. Environmental Protection Agency Regulatory Background,https://www3.epa.gov/ttnecas1/regdata/RIAs/matsriafinal.pdf
Mercury Emissions Control from Power Plants,U.S. Environmental Protection Agency Research and Analysis,https://www.epa.gov/mercury/resources-mercury-science-and-research
Municipal Landfill Standards,U.S. Environmental Protection Agency Regulatory Background,https://www.epa.gov/stationary-sources-air-pollution/clean-air-act-guidelines-and-standards-waste-management
