url,name_english
https://www.epa.gov/laws-regulations/summary-clean-water-act,Clean Water Act
http://www.epa.gov/superfund/policy/cercla.htm,"Comprehensive Environmental Response, Compensation and Liability Act"
http://www.epa.gov/otaq/oceanvessels.htm,Control of Emissions from New and In-Use Marine Engines and Vessels
https://www3.epa.gov/crossstaterule/,Cross-State Air Pollution Rule (CSAPR)
http://www.epa.gov/mats/,Mercury and Air Toxics Standards
https://www.epa.gov/emission-standards-reference-guide,Non-road Exhaust Emissions Standards
https://www.epa.gov/dwreginfo/chemical-contaminant-rules,Safe Drinking Water Act - Arsenic Rule
http://www.epa.gov/npdes/pubs/chapt_05.pdf,Secondary Treatment Standards under the National Pollutant Discharge Elimination System (NPDES)
http://www.ecfr.gov/cgi-bin/text-idx?tpl=/ecfrbrowse/Title40/40cfr503_main_02.tpl,Standards for the Use or Disposal of Sewage Sludge
http://www.gpo.gov/fdsys/pkg/CFR-2012-title40-vol28/pdf/CFR-2012-title40-vol28-part273.pdf,Standards for Universal Waste Management
http://www.gpo.gov/fdsys/pkg/CFR-2011-title40-vol6/xml/CFR-2011-title40-vol6-part60.xml,Standards of Performance for New Stationary Sources: Landfills and Municipal Waste
http://www.gpo.gov/fdsys/pkg/CFR-2011-title40-vol6/xml/CFR-2011-title40-vol6-part60.xml,Standards of Performance for New Stationary Sources: Oil and Gas
